state,state code,cases,deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,Lean,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,# of Jails / Prisions,"""Listed"" Capacity",Max Capcaity,Projected Capacity,Staffing approx,
Alabama,1,284922,4034,1441170,849624,2323282,62.03%,36.57%,98.60%,RIGHT,50645.33,92.39857341,4903185,2369517,2533668,1216438,597492,618946,2836910,1457490,1379420,849837,371151,478686,153,18693,,,6259,
Alaska,2,39146,148,157618,118391,287010,54.92%,41.25%,96.17%,RIGHT,570641,6.976199102,731545,388400,343145,114740,54997,59743,506192,236579,269613,110613,59044,51569,42,4586,,,,
Arizona,4,390047,7173,1661686,1672143,3385845,49.08%,49.39%,98.46%,LEFT,113997,58.81778636,7278717,3617297,3661420,1838598,900189,938409,4131486,2054959,2076527,1308633,602361,706272,125,38760,,,8700,
Arkansas,5,178854,2820,760613,423916,1219014,62.40%,34.78%,97.17%,RIGHT,53179.05,54.3614166,3017804,1481616,1536188,778928,379913,399015,1714994,865931,849063,523882,233538,290344,93,13795,,,4045,
California,6,1490879,20636,5962975,11055577,17395590,34.28%,63.55%,97.83%,LEFT,152659,726.5476584,38367049,19079447,19287602,9629531,4707294,4922237,23074886,11441150,11633736,5662632,2523474,3139158,406,94433,,,46000,
Colorado,8,278913,3787,1364467,1804184,3256633,41.90%,55.40%,97.30%,LEFT,104095.97,173.2661596,5758736,2901348,2857388,1407971,687142,720829,3508353,1714609,1793744,842412,386775,455637,143,14673,,,6267,
Connecticut,9,142979,5327,715291,1080680,1824317,39.21%,59.24%,98.45%,LEFT,4846,719.8338791,3565287,1739417,1825870,829582,406661,422921,2105461,1064967,1040494,630244,276002,354242,67,9348,,,6170,
Delaware,10,43036,806,200603,296268,504010,39.80%,58.78%,98.58%,LEFT,2490,517.6339161,973764,470793,502971,228912,113219,115693,555946,285397,270549,188906,84551,104355,11,4457,,,2530,
District of Columbia,11,24098,708,18586,317323,344356,5.40%,92.15%,97.55%,LEFT,61.05,11560.18018,705749,334711,371038,149337,74724,74613,469069,244709,224360,87343,35738,51605,8,,,,,
Florida,12,1094689,19590,5668731,5297045,11067456,51.22%,47.86%,99.08%,RIGHT,53999,379.3546961,21477737,10497056,10980681,4714575,2306134,2408441,12265825,6206281,6059544,4497337,2029071,2468266,325,82163,,,22218,
Georgia,13,506802,9683,2461837,2474507,4998566,49.25%,49.50%,98.76%,LEFT,57915,210.9688768,10617423,5160424,5456999,2801689,1375698,1425991,6298780,3225998,3072782,1516954,661651,855303,326,48433,,,8399,
Hawaii,15,18901,266,185282,344905,540972,34.25%,63.76%,98.01%,LEFT,6372.2,486.8693093,1415786,707999,707787,330092,160276,169816,817285,400701,416584,268409,121599,146810,23,4184,,,,
Idaho,16,118352,1145,554118,287021,868105,63.83%,33.06%,96.89%,RIGHT,82809,40.05241149,1787065,895928,891137,496173,242971,253202,1000222,495370,504852,290670,137874,152796,66,7496,,,1999,
Illinois,17,825136,14852,2439446,3461060,6019642,40.52%,57.50%,98.02%,LEFT,55593,199.1670647,12671821,6226558,6445263,3145309,1538808,1606501,7483280,3758319,3724961,2043232,895096,1148136,192,30651,,,11781,
Indiana,18,407755,6603,1729446,1241774,3035088,56.98%,40.91%,97.90%,RIGHT,35828,184.4395319,6732219,3320360,3411859,1755070,856073,898997,3891406,1950673,1940733,1085743,480630,605113,161,24203,,,6000,
Iowa,19,251027,3116,897467,758881,1688310,53.16%,44.95%,98.11%,RIGHT,55861,55.11871112,3155070,1571075,1583995,816335,398544,417791,1785781,881281,904500,552954,248784,304170,137,7415,,,2470,
Kansas,20,183750,1941,752903,551144,1333804,56.45%,41.32%,97.77%,RIGHT,81823,50.78033844,2913314,1451697,1461617,782091,380848,401243,1655736,819198,836538,475487,213916,261571,116,8414,,,3228,
Kentucky,21,217112,2387,1326646,772474,2136768,62.09%,36.15%,98.24%,RIGHT,39733,120.3280504,4467673,2201029,2266644,1118934,545344,573590,2598175,1303909,1294266,750564,333173,417391,147,10242,,,,
Louisiana,22,261329,6724,1255776,856034,2148062,58.46%,39.85%,98.31%,RIGHT,51335,122.4485127,4648794,2267050,2381744,1203265,590260,613005,2704507,1376084,1328423,741022,325622,415400,159,14134,,,4857,
Maine,23,14861,246,360446,431277,816428,44.15%,52.82%,96.97%,LEFT,35383,70.3609013,1344212,658112,686100,281158,136855,144303,777789,393942,383847,285265,129962,155303,31,1766,,,1131,
Maryland,24,226173,5012,976414,1985023,3016608,32.37%,65.80%,98.17%,LEFT,11811,522.4027293,6045680,2928865,3116815,1489721,730290,759431,3596563,1842075,1754488,959396,414946,544450,90,18280,,,8039,
Massachusetts,25,274781,11209,1167202,2382202,3631473,32.14%,65.60%,97.74%,LEFT,7838,1696.904472,6892503,3345568,3546935,1558231,766761,791470,4164940,2119384,2045556,1169332,508542,660790,71,6729,,,4679,
Michigan,26,454180,10895,2649852,2804040,5544102,47.80%,50.58%,98.37%,LEFT,96716,162.6698881,9986857,4918528,5068329,2407690,1176541,1231149,5813766,2917797,2895969,1765401,791410,973991,201,34134,,,11963,
Minnesota,27,367277,4257,1484065,1717077,3277170,45.28%,52.40%,97.68%,LEFT,79610.09,138.9958581,5639632,2809811,2829821,1445346,707228,738118,3273904,1621416,1652488,920382,419205,501177,147,7575,,,1987,
Mississippi,28,172955,4083,756731,539494,1315240,57.54%,41.02%,98.55%,RIGHT,46915,62.51881511,2976149,1442292,1533857,780487,382911,397576,1708969,876139,832830,486693,211886,274807,134,15367,,,591,
Missouri,29,353082,4690,1717912,1253561,3029586,56.70%,41.38%,98.08%,RIGHT,68846.9,131.8384355,6137428,3012662,3124766,1527291,745447,781844,3548100,1787637,1760463,1062037,470355,591682,167,23554,,,11000,
Montana,30,70954,786,343602,244786,605750,56.72%,40.41%,97.13%,RIGHT,145312,7.904565842,1068778,538066,530712,254416,123448,130968,607925,299836,308089,206437,99009,107428,73,3746,,,1284,
Nebraska,31,145819,1348,556846,374583,952271,58.48%,39.34%,97.81%,RIGHT,76121,45.24403612,1934408,966449,967959,529821,258397,271424,1092129,537957,554172,312458,140853,171605,82,5400,,,2091,
Nevada,32,179409,2448,669890,703486,1405376,47.67%,50.06%,97.72%,LEFT,109818,149.0885418,3080156,1544827,1535329,760272,370882,389390,1823912,902001,921911,495972,233526,262446,53,11273,,,2800,
New Hampshire,33,28273,584,365654,424921,804430,45.46%,52.82%,98.28%,LEFT,8969,190.0894604,1359711,673793,685918,291038,142448,148590,814809,406170,408639,253864,116564,137300,24,2184,,,823,
New Jersey,34,388474,17608,1882454,2607331,4565757,41.23%,57.11%,98.34%,LEFT,7418,2253.465447,8882190,4340587,4541603,2151487,1051821,1099666,5255168,2652389,2602779,1475535,638142,837393,76,14784,,,8012,
New Mexico,35,114731,1846,401894,501614,923965,43.50%,54.29%,97.79%,LEFT,121341,36.72377209,2096829,1037432,1059397,531712,260844,270868,1187511,593137,594374,377606,172190,205416,75,6029,,,1893,
New York,36,749204,34884,2987266,4076327,7170577,41.66%,56.85%,98.51%,LEFT,54341.54,2137.440746,19453561,9447846,10005715,4520996,2211837,2309159,11636419,5920703,5715716,3296146,1422971,1873175,249,35983,,,19123,
North Carolina,37,417951,5752,2758775,2684302,5524813,49.93%,48.59%,98.52%,RIGHT,53664,201.2915368,10488084,5100264,5387820,2592437,1271077,1321360,6144553,3132385,3012168,1751094,766736,984358,231,30657,,,7774,
North Dakota,38,86707,1103,235595,114902,361819,65.11%,31.76%,96.87%,RIGHT,68994,9.38429165,762062,390032,372030,200777,97773,103004,441440,209734,231706,119845,55322,64523,37,1191,,,282,
Ohio,39,531850,7298,3153336,2678501,5929361,53.18%,45.17%,98.36%,RIGHT,40956.51,293.4570256,11689100,5730562,5958538,2886873,1410980,1475893,6755907,3403313,3352594,2046320,902075,1144245,210,44595,,,12192,
Oklahoma,40,225453,1980,1020280,503890,1560699,65.37%,32.29%,97.66%,RIGHT,68678,72.75148689,3956971,1960658,1996313,1058495,516302,542193,2263344,1128961,1134383,635132,284082,351050,179,21678,,,4290,
Oregon,41,89838,1124,966627,1346141,2385605,40.52%,56.43%,96.95%,LEFT,95804,121.9570004,4217737,2090727,2127010,965480,470984,494496,2486177,1241063,1245114,766080,351117,414963,100,13149,,,4644,
Pennsylvania,42,463175,12066,3377674,3458229,6921699,48.80%,49.96%,98.76%,LEFT,45289,459.3644323,12801989,6274361,6527628,2977542,1456387,1521155,7431085,3729782,3701303,2393362,1051903,1341459,202,41641,,,15073,
Puerto Rico,72,93073,1238,406830,389896,1243712,32.71%,31.35%,64.06%,RIGHT,3424.84,1076.455238,3193694,1515721,1677973,659523,323719,335804,1854515,969848,884667,679656,295250,384406,35,,,,,
Rhode Island,44,69247,1498,199837,306210,513627,38.91%,59.62%,98.52%,LEFT,1032,1149.296778,1059361,515675,543686,238543,117419,121124,633772,320618,313154,187046,81397,105649,19,2233,,,1339,
South Carolina,45,241686,4627,1385103,1091541,2513329,55.11%,43.43%,98.54%,RIGHT,31452.55,148.0085505,5148714,2493139,2655575,1247839,612160,635679,2963852,1523031,1440821,937023,416639,520384,103,16109,,,4825,
South Dakota,46,88727,1177,261043,150471,422609,61.77%,35.61%,97.37%,RIGHT,75896,15.16553936,884659,446757,437902,240567,116988,123579,492221,239709,252512,151871,70666,81205,48,3205,,,599,
Tennessee,47,418902,5183,1849820,1139376,3049514,60.66%,37.36%,98.02%,RIGHT,41191,151.1872723,6829174,3332239,3496935,1677566,821077,856489,4008215,2038884,1969331,1143393,506419,636974,157,19566,,,5179,
Texas,48,1403687,23967,5891792,5261061,11323985,52.03%,46.46%,98.49%,RIGHT,261962,119.6739278,28995881,14402702,14593179,8210585,4020641,4189944,17051067,8507476,8543591,3734229,1669167,2065062,627,122177,,,36073,
Utah,49,225946,1016,865140,560282,1488289,58.13%,37.65%,95.78%,RIGHT,82170,134.3886466,3205958,1614917,1591041,1028611,501431,527180,1811475,894271,917204,365872,170533,195339,49,5824,,,,
Vermont,50,5413,89,112704,242820,367428,30.67%,66.09%,96.76%,LEFT,9250,72.65639191,623989,308316,315673,134415,65181,69234,364535,183030,181505,125039,57577,67462,15,1369,,,1001,
Virginia,51,271043,4335,1962430,2413568,4460524,44.00%,54.11%,98.11%,LEFT,39369.1,935.9399824,8535519,4200257,4335262,2087426,1021703,1065723,5089187,2557578,2531609,1358906,602925,755981,3,25156,,,8895,
Virgin Islands,78,1733,23,99,15470,17561,0.56%,88.09%,88.66%,LEFT,134.5,791.2,106405,50854,55551,29694,14650,15044,59053,33130,29843,14384,6613,7771,182,,,,,
Washington,53,201179,3075,1584588,2369437,4060294,39.03%,58.36%,97.38%,LEFT,66457,147.4266197,7614893,3811983,3802910,1840306,898251,942055,4564864,2247213,2317651,1209723,552277,657446,128,15198,,,8806,
West Virginia,54,59695,921,545382,235984,794652,68.63%,29.70%,98.33%,RIGHT,24088,93.99486887,1792147,887770,904377,402473,195536,206937,1022663,509222,513441,367011,167392,199619,92,4172,,,1506,
Wisconsin,55,456889,4216,1610151,1630716,3297434,48.83%,49.45%,98.28%,LEFT,54157.87,166.4851733,5822434,2897209,2925225,1422095,695351,726744,3383096,1677985,1705111,1017243,465354,551889,202,20796,,,4640,
Wyoming,56,38223,299,193559,73491,276765,69.94%,26.55%,96.49%,RIGHT,97105,6.557927967,578759,294730,284029,148172,71623,76549,331408,160987,170421,99179,47760,51419,35,1996,,,1029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
United States Totals,,cases,deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,,,,,,,,,,,,,,,6833,145718,,,36607,
,,15688317,292629,74255654,80374961,157949282,47.01%,50.89%,97.90%,LEFT,,,,,,,,,,,,,,,,,,,,
